AccX,AccY,AccZ,GyroX,GyroY,GyroZ
9772,-3556,16008,-944,-200,658
9808,-3572,15868,-1079,39,556
9948,-3472,15968,-1171,204,588
9452,-3868,15940,-1272,427,441
9924,-3788,16080,-1356,393,251
9824,-3800,15916,-1342,282,55
9632,-4080,16128,-1264,186,29
9056,-4076,16088,-1160,168,94
9580,-3840,16016,-1042,-25,284
9176,-4128,16032,-982,-248,175
9868,-3356,15940,-995,-327,72
9748,-3416,16128,-1137,-382,144
8940,-3708,16100,-1324,-273,181
8904,-3728,16476,-1333,-86,346
8608,-3816,16728,-1303,-11,472
9696,-3700,17028,-1295,116,744
9024,-3880,16988,-1216,-34,1050
9972,-3480,17360,-1364,-25,1096
10468,-3560,17168,-1480,128,1151
9640,-3928,17524,-1521,570,1375
10236,-5392,19156,-600,1093,1960
10800,-5328,18768,-348,1403,2067
11380,-5064,18728,-174,1874,2296
10816,-5324,18740,-87,2086,2171
10884,-5480,18800,46,1943,1719
11608,-5516,18640,267,1762,1116
11616,-5480,18460,469,1650,622
10632,-5528,18264,652,1569,184
11400,-5168,17784,927,1728,-11
10804,-5080,17492,1179,1691,-183
8928,-3612,18924,23,3224,-54
7984,-4144,16680,95,2693,46
9408,-3224,17864,-301,2450,316
7204,-5556,15388,728,2424,-83
9020,-3740,17700,-170,2672,528
8716,-4228,17100,424,2257,-240
7720,-4004,17088,280,1363,-908
8480,-3448,17044,53,1347,-1111
8444,-4012,17020,150,2257,-607
8316,-3844,16916,200,2758,-153
8196,-3856,18092,700,1747,-377
7504,-4100,17920,780,1240,-628
8608,-3376,17500,736,942,-700
8428,-3340,17048,576,1124,-601
9604,-3004,16720,401,1927,-347
9264,-3000,16840,367,2990,77
8112,-3148,16772,305,3765,436
7644,-3160,17024,165,4248,657
7580,-3236,17064,26,4398,724
6972,-3488,17436,7,3930,695
6208,-3624,17144,473,327,-919
6716,-3260,16912,441,801,-631
6704,-3444,16864,547,1448,-316
7436,-3016,16728,582,1848,27
6700,-2964,16640,540,2289,296
7040,-2452,16732,367,2786,570
6424,-2652,16596,164,3268,753
5736,-3148,17052,50,3239,723
5844,-3068,17412,78,2607,335
4884,-3364,17504,168,1930,37
5192,-2388,16688,374,607,395
6148,-1812,16440,92,1033,856
5156,-2080,16740,-244,1267,1377
6284,-2276,17148,-427,1255,1494
6080,-3156,17608,-366,959,1537
7260,-3232,18104,-62,1162,1500
7196,-3468,18248,248,772,1199
7320,-3236,18404,517,145,665
7992,-2696,17908,615,-17,426
7644,-2524,17560,575,421,570
7668,-3068,18204,394,1384,9
7612,-2992,18152,499,1527,-159
7284,-3016,18364,648,1606,-284
7444,-2932,18236,732,1307,-630
6680,-2992,18156,847,1080,-897
6968,-2780,18376,938,502,-1256
7020,-2296,18248,936,308,-1369
6540,-2784,18284,1043,401,-1365
6936,-2420,18248,1141,529,-1318
6284,-2204,18088,976,798,-1219
5628,-2000,17576,1398,-700,-1383
5780,-1848,17380,1326,-121,-920
6220,-1628,17456,1131,352,-613
5668,-1712,17552,1042,308,-567
5996,-1512,17520,1048,94,-582
5344,-1604,17728,912,5,-419
5412,-1776,17792,774,23,-393
6080,-1580,17864,691,10,-420
5892,-1728,17772,642,192,-245
6088,-1588,17888,554,748,200
5984,-1260,17784,394,1018,668
6648,-1128,17768,236,1276,745
5920,-1128,18016,59,1524,928
6292,-1532,18424,-6,1282,770
5760,-1708,18584,70,1125,569
6596,-1680,19016,173,1092,479
6372,-2088,19372,475,665,111
6576,-2184,19076,775,88,-296
6780,-1828,18836,1090,-187,-456
6280,-1436,18100,1199,-247,-488
5960,-1896,18976,502,271,-792
6088,-1768,18740,811,169,-868
5732,-1676,18708,1072,-250,-1126
6100,-1280,18356,1217,-480,-1219
6388,-612,18512,1190,-576,-1308
6632,-616,18208,1106,-783,-1580
6560,-488,18304,953,-886,-1795
6512,-420,18276,685,-712,-1840
5792,-820,18408,652,-724,-1703
6000,-948,18312,709,-349,-1399
5952,-356,18512,442,190,-850
6076,-328,18984,364,207,-867
5312,-1028,18944,426,-37,-890
6480,-688,18964,567,-37,-853
5460,-792,18872,548,300,-707
5804,-704,19000,560,384,-583
6176,-720,18720,601,545,-462
5552,-896,18676,596,638,-426
5556,-704,18644,530,685,-351
6364,-448,18744,500,822,-106
5792,-548,18640,643,1161,66
5916,-100,18468,614,1190,203
6152,-20,18512,531,1534,499
5316,-252,18524,456,1721,608
5572,-380,18984,329,1607,631
5636,-732,19140,502,1239,343
5232,-600,19376,666,554,-108
5692,-420,19188,865,-104,-500
5716,-308,18660,1068,-276,-633
7548,724,18092,926,688,-163
4424,-964,19580,965,868,-868
5288,-512,19388,1368,406,-1113
5244,-276,19412,1541,-263,-1360
5448,-188,18816,1524,-578,-1470
5044,-184,18572,1633,-359,-1365
5044,500,18440,1612,109,-1139
5544,876,18348,1351,488,-512
4920,796,18284,1239,1036,-148
4108,528,18736,739,185,-341
4368,32,18876,1278,533,-361
5244,1192,18224,1278,-2074,-1644
6020,1384,17688,1079,-1500,-1239
6676,1848,17536,927,-634,-748
5696,1320,17368,569,137,-193
5612,1656,17952,82,441,-102
5328,1184,18052,210,290,-225
4928,832,18208,170,-91,-373
5508,1268,17756,352,-314,-550
5852,1308,18152,53,-218,-176
5424,1260,17652,256,-45,-13
5940,2272,17464,2,520,95
5556,2024,17528,-171,463,224
5048,1736,18080,-321,276,-47
5828,1776,17424,-290,97,-324
5716,1900,18376,-583,667,-139
4812,1652,18068,-647,205,-452
4216,1284,17856,-552,-828,-957
5772,1748,18372,-551,-935,-888
6012,1776,18084,-446,-732,-596
5868,1548,17700,-172,-523,-377
4712,1540,18364,-812,-147,-395
5536,1668,18268,-739,-175,-356
5520,1140,18264,-682,-81,-283
6288,1680,18076,-723,46,-155
6316,2044,17864,-791,590,56
5352,1892,18020,-907,1038,323
5424,1604,18020,-1014,1182,381
4976,1136,18384,-985,845,77
5008,904,18860,-872,228,-407
4404,716,18884,-585,-700,-862
