AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-4644,-5536,16472,-792,-284,-665
-4648,-5540,16700,-937,-288,-726
-4728,-5680,16600,-1179,-7,-592
-5232,-5992,16592,-1339,242,-373
-5596,-6200,16660,-1343,322,-179
-5256,-6140,16836,-1282,55,-157
-5376,-6332,16528,-1093,-215,-227
-5052,-6072,16412,-947,-553,-544
-4888,-5696,16188,-956,-808,-887
-4952,-5388,16116,-987,-972,-1201
-4056,-6384,16292,-1476,-787,-2130
-4008,-6376,16384,-1171,-1270,-2788
-4280,-6224,16512,-981,-2010,-3547
-4272,-5984,16260,-985,-2339,-3800
-4052,-5776,16076,-1009,-2102,-3359
-4008,-5624,15892,-1246,-1539,-2689
-3272,-5236,15964,-1841,-390,-1942
-3572,-5232,15772,-2323,528,-1212
-3836,-5504,15940,-2707,977,-880
-4092,-5592,16004,-2905,935,-1029
-4276,-5600,14788,-3781,264,-1428
-4424,-5960,15476,-3985,628,-985
-4816,-6360,15752,-4199,895,-972
-4752,-6740,16276,-4211,533,-1419
-4188,-7340,16840,-3608,-644,-2507
-4252,-7864,16744,-2408,-2268,-4158
-4028,-7456,15472,-986,-4264,-5681
-3744,-5920,13944,-89,-5067,-6444
-2584,-3808,13620,-1141,-4707,-5763
-2920,-3120,13148,-3558,-1572,-4226
-5680,-10308,17324,-3572,-3032,-5081
-4980,-8704,16232,-888,-5902,-6913
-3940,-6992,15576,-79,-6331,-7015
-2720,-5456,14568,-1622,-4308,-5473
-2568,-5244,14952,-3915,-1081,-3109
-3536,-6948,15732,-5486,1325,-1394
-3760,-8240,16920,-6016,1909,-1462
-5148,-10464,18108,-5572,269,-2836
-4520,-12024,18856,-3997,-3056,-5298
-4224,-12556,18448,-1853,-6561,-7960
-3392,-10240,17096,-4038,-133,-2380
-3264,-11336,17876,-2942,-2167,-3648
-2772,-11560,17556,-1443,-5037,-5338
-2236,-10936,16468,-2,-6872,-6714
-1544,-9448,15100,1021,-7161,-6782
-1060,-7444,14124,707,-6067,-5828
-112,-6204,13372,-682,-4129,-4095
-484,-6468,13696,-2468,-2186,-2755
-1184,-7676,14820,-3693,-1367,-2116
-1668,-8880,15804,-3737,-2218,-2612
-672,-11368,16468,-4800,-4032,-1542
848,-11124,16832,-3257,-6644,-2993
1628,-10432,15968,-2188,-7993,-3881
2780,-8800,14856,-2302,-7133,-3665
3276,-7096,14792,-3489,-4462,-2318
2276,-7708,14772,-5829,-640,-359
1176,-9828,15936,-7821,1677,1198
-256,-12768,17624,-7681,1403,1155
-1012,-14368,18544,-5972,-1252,-503
-828,-14472,18648,-3575,-5032,-2720
1300,-13204,17656,-2011,-4910,-774
2468,-11764,16740,-1445,-4333,-553
3788,-10036,15996,-1954,-2200,77
3116,-9696,15692,-3077,-99,1059
2592,-10084,15404,-4089,988,1602
1640,-11392,16044,-4636,595,1151
1172,-12480,17380,-4041,-1230,-251
1640,-12592,17696,-3158,-3491,-1655
1996,-12180,16696,-2464,-4828,-2267
3016,-11000,16308,-2354,-4618,-2113
2524,-12648,16932,-2339,-1432,-1424
2472,-12376,16592,-1559,-2741,-2294
2752,-11600,16172,-1290,-3232,-2483
3332,-11088,15920,-1372,-2452,-1968
3484,-10748,15444,-1497,-1066,-1308
2972,-10368,15832,-1980,-167,-788
2144,-10976,15908,-2172,15,-882
2080,-11560,16092,-2172,-459,-1417
1680,-11744,15932,-1805,-1560,-2221
1768,-11620,15960,-1458,-2802,-2478
3956,-11432,15632,-543,-780,-1137
3316,-11240,15476,-592,-339,-1321
3028,-11180,15288,-595,-416,-1587
2112,-11360,15476,-564,-1175,-1861
2016,-11396,15980,-559,-2195,-2145
2636,-11288,15916,-617,-2544,-2158
2820,-11572,16400,-912,-2301,-1736
3700,-12108,16856,-973,-1837,-1107
3696,-12268,16764,-870,-1234,-831
4160,-12192,16644,-662,-706,-1019
2436,-10896,14148,-1142,-71,-631
2420,-10952,14104,-1335,-256,-864
2280,-11184,14588,-1426,-829,-1180
1892,-11832,14684,-1081,-1579,-1555
2156,-11720,14792,-709,-2176,-1838
2368,-11192,14772,-671,-2400,-1613
3192,-10560,14372,-907,-2415,-1189
3244,-10540,13960,-1165,-2257,-761
3880,-10108,13964,-1745,-2039,-596
3860,-10288,14416,-2320,-1682,-430
4096,-11888,15680,-2021,-1344,-648
3992,-11656,15860,-2182,-1203,-446
3716,-11652,15880,-2444,-936,-277
3260,-12532,16236,-2407,-764,-246
3592,-12872,16652,-2035,-883,-49
3512,-13012,16820,-1586,-1084,47
3944,-12880,16424,-1144,-1079,95
4376,-12272,15668,-1030,-902,47
4992,-11608,15164,-1143,-530,-7
4908,-11224,15148,-1388,92,-80
3532,-11968,15380,-408,-918,-864
3824,-11596,14640,-244,-850,-684
4172,-11144,14164,-342,-497,-338
4592,-10808,14000,-650,-3,34
4868,-10764,14080,-914,308,319
4704,-10968,14296,-980,430,364
4552,-11292,14316,-874,345,89
4456,-11068,14216,-735,-25,-355
4204,-10964,13928,-722,-299,-657
3652,-10992,13500,-683,-289,-756
4228,-10576,13392,-1404,-1185,-502
4248,-10736,13216,-1564,-744,-438
3804,-10792,13236,-1816,-538,-435
3788,-10432,13472,-2127,-631,-199
3616,-10956,13528,-2007,-994,-291
3528,-11156,13684,-1990,-1433,-387
3536,-11392,13888,-1845,-1870,-450
3668,-11424,13848,-1689,-2052,-514
4500,-11240,13692,-1808,-1977,-587
4576,-11428,13868,-1810,-1770,-767
