AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-2712,1508,19568,-362,597,-4411
-2796,1300,19456,-448,636,-4378
-2724,1220,19404,-447,696,-4396
-2704,900,19428,-302,728,-4301
-2908,884,19428,-106,702,-4164
-3248,896,19496,51,559,-4151
-3380,736,19520,227,280,-4044
-3260,452,19660,527,112,-3987
-3276,192,19876,850,-163,-3888
-3200,300,19548,1109,-336,-3794
-3396,376,19832,1438,-521,-3651
-3496,788,19880,1507,-728,-3677
-3360,1060,19828,1207,-701,-3913
-3164,1332,19544,841,-430,-4170
-3124,1400,19412,379,-261,-4285
-2864,1120,18756,-36,83,-4355
-3228,868,18812,-209,304,-4225
-3240,552,18668,-276,339,-4058
-3304,-328,18504,-124,199,-3780
-3684,-908,18516,391,63,-3500
-3872,-980,18360,684,-98,-3486
-3984,-1216,18244,925,-58,-3649
-3912,-1140,18504,1190,-145,-3849
-3520,-1008,18460,1482,-250,-4073
-3400,-584,18476,1863,-296,-4142
-3092,328,18700,2115,-262,-4000
-2920,732,18472,2046,-111,-3856
-2968,700,18636,2021,123,-3778
-3040,1248,18872,1831,278,-3771
-3024,1456,19084,1268,550,-3870
-3264,780,19016,703,922,-3944
-3696,248,19424,410,988,-4125
-3916,-188,19016,271,972,-4240
-3948,-544,18920,220,924,-4458
-3820,-576,18964,93,910,-4816
-3844,-596,18924,-17,967,-5249
-3680,-316,18736,-169,964,-5785
-3268,-132,18592,-98,983,-6095
-3048,372,18708,44,1092,-6226
-2868,868,18476,38,1131,-6181
-2780,1200,18584,114,1244,-5968
-2196,6608,20320,628,255,-1425
-2292,6532,19932,489,351,-894
-2724,6180,20156,346,398,-242
-2684,5548,19944,131,201,287
-2832,4748,19896,-30,261,547
-2900,3652,20124,22,274,733
-2844,3288,20476,180,188,722
-3380,3032,20904,246,225,411
-3648,3208,21488,72,225,-74
-3596,3884,21624,-346,315,-560
-3920,4600,21856,-975,443,-984
