AccX,AccY,AccZ,GyroX,GyroY,GyroZ
722,16124,4840,-1030,-52,-132
734,16118,4846,-972,-46,-126
742,16128,4830,-936,-44,-122
740,16128,4834,-928,-44,-153
742,16130,4832,-881,-47,-178
-2330,-454,19766,-1264,400,-605
-2300,-406,19718,-1451,497,-660
-2312,-406,19698,-1668,595,-768
-2360,-490,19704,-1788,743,-882
-2462,-562,19794,-1761,985,-1002
-2558,-568,19924,-1608,1126,-1053
-2614,-446,20030,-1399,1223,-979
-2736,-300,20132,-1248,1211,-886
-2876,-122,20218,-1161,1136,-827
-2906,42,20294,-1077,1073,-708
-3364,644,20824,-2199,221,-262
-3426,476,20802,-2146,117,-191
-3416,356,20754,-1930,35,-17
-3392,264,20672,-1681,-52,167
-3346,220,20580,-1416,-125,368
-3374,334,20584,-1115,-227,634
-3426,464,20586,-873,-373,871
-3452,598,20534,-664,-481,1124
-3526,768,20432,-516,-562,1350
-3516,862,20290,-492,-603,1491
-3404,708,19834,-293,-679,2301
-3352,682,19804,-342,-716,2349
-3278,586,19752,-358,-759,2413
-3246,502,19738,-308,-824,2473
-3186,510,19728,-300,-906,2472
-3152,580,19708,-345,-992,2438
-3104,624,19652,-357,-1048,2456
-3058,676,19596,-345,-1082,2513
-3012,710,19534,-343,-1117,2558
-2984,830,19426,-362,-1146,2636
-2488,560,19266,-196,-712,3564
-2600,756,19428,-351,-721,3586
-2672,882,19542,-690,-806,3575
-2640,816,19508,-996,-882,3585
-2530,600,19424,-1207,-910,3607
-2400,324,19348,-1292,-907,3630
-2274,72,19288,-1304,-902,3609
-2198,-92,19312,-1278,-877,3569
-2184,-196,19414,-1155,-858,3544
-2116,-296,19482,-920,-839,3533
-1776,-248,19124,-471,-427,3629
-1790,-90,19266,-614,-438,3638
-1832,74,19402,-904,-496,3611
-1826,42,19384,-1275,-559,3545
-1756,-212,19246,-1617,-561,3442
-1646,-622,19092,-1816,-509,3374
-1586,-958,19072,-1883,-439,3317
-1568,-1254,19166,-1884,-402,3221
-1620,-1450,19392,-1845,-408,3067
-1742,-1486,19684,-1772,-522,2836
-1550,-508,19192,-1144,-1216,2543
-1466,-476,19090,-997,-1160,2608
-1426,-220,19058,-883,-1077,2688
-1440,-34,19048,-890,-999,2735
-1410,56,18948,-925,-892,2809
-1408,108,18868,-959,-721,2952
-1434,16,18868,-1021,-554,3118
-1404,-172,18888,-1112,-391,3240
-1398,-344,18956,-1281,-274,3277
-1402,-546,19070,-1492,-207,3234
-1536,-1234,19716,-1180,-126,2972
-1526,-1208,19692,-1012,-129,2943
-1514,-1154,19668,-896,-144,2888
-1524,-1052,19698,-837,-182,2794
-1540,-910,19748,-793,-229,2724
-1606,-686,19822,-748,-299,2680
-1660,-482,19846,-728,-367,2648
-1696,-300,19774,-749,-432,2639
-1688,-214,19614,-818,-470,2631
-1592,-292,19418,-858,-427,2643
-1602,-296,19596,-1809,-516,2600
-1456,-656,19408,-1818,-543,2573
-1316,-1026,19304,-1584,-518,2552
-1292,-1196,19262,-1187,-468,2544
-1328,-1160,19306,-730,-407,2539
-1420,-872,19418,-278,-347,2521
-1564,-364,19444,23,-319,2514
-1668,240,19438,80,-323,2519
-1710,718,19366,-193,-385,2491
-1584,776,19260,-671,-467,2441
-1592,48,20068,-42,-148,2648
-1648,358,20188,94,-173,2657
-1720,716,20258,99,-256,2617
-1842,1050,20234,-17,-381,2583
-1902,1278,20088,-246,-533,2566
-1846,1324,19834,-517,-604,2574
-1778,1242,19642,-698,-633,2653
-1718,1074,19526,-757,-627,2743
-1656,1042,19454,-749,-589,2849
-1632,1068,19490,-794,-560,2921
-1442,722,19054,-2513,-818,3134
-1238,268,18898,-2589,-710,3196
-1040,-76,18828,-2598,-578,3256
-962,-324,18920,-2520,-465,3280
-860,-546,19012,-2370,-403,3211
-806,-798,19044,-2169,-428,3090
-770,-930,19160,-1770,-356,3021
-786,-898,19292,-1663,-441,2973
-872,-718,19632,-1638,-466,2877
-1016,-554,19904,-2077,-907,2800
-1050,-358,20168,-3070,-2192,2877
-950,6,20012,-3208,-2279,2958
-968,244,19942,-3414,-2322,3034
-986,354,19874,-3422,-2295,3083
-1020,432,19750,-3475,-2298,3123
-1068,602,19578,-3585,-2310,3178
-1138,906,19442,-3715,-2339,3356
-930,970,19098,-3935,-2418,3532
-762,904,18680,-3803,-2314,4032
-680,836,18268,-3473,-2008,4740
