AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Gesture
4504,-6332,17760,-1073,1290,-2415,1
3716,-6180,18016,-1081,2230,-1598,1
3328,-6152,17848,-1133,2192,-1613,1
3324,-6176,17976,-1135,2004,-1442,1
3408,-6100,17976,-1219,1986,-1499,1
3372,-6196,17852,-1273,2056,-1482,1
3576,-6212,18064,-1359,2134,-1565,1
3628,-6388,18104,-1226,2292,-1636,1
3504,-6468,18204,-939,2321,-1608,1
3200,-6412,18092,-987,2143,-1606,1
3136,-6260,17888,-1080,1909,-1766,1
2816,-6200,18104,-1071,2610,-1362,1
2592,-6260,18248,-1150,2311,-1357,1
2664,-5992,18296,-1154,1954,-1448,1
3048,-6528,18644,-965,1781,-1582,1
3128,-6576,18500,-795,1903,-1643,1
3012,-6632,18516,-552,2083,-1712,1
2824,-6500,18472,-529,2078,-1807,1
2556,-6284,18316,-605,2020,-1829,1
2484,-6060,18180,-731,1864,-1861,1
2644,-6024,18296,-659,1750,-1729,1
2640,-5788,18012,-1049,1007,-2516,1
2748,-5532,18008,-1040,1095,-2216,1
2628,-6056,17976,-1163,1131,-1988,1
2704,-6124,18064,-1297,1099,-2138,1
2664,-6372,18076,-1337,1025,-2394,1
2680,-6448,18056,-1323,1097,-2595,1
2756,-6364,18044,-1148,1313,-2643,1
2472,-6296,17932,-967,1436,-2630,1
2288,-5872,18100,-971,1736,-2436,1
2176,-5860,18052,-1081,1961,-2275,1
1824,-5792,18444,-1080,1618,-1288,1
1804,-5856,18316,-1142,1607,-1395,1
2012,-6144,18332,-1121,1642,-1404,1
1964,-6032,18304,-1087,1692,-1488,1
1868,-5952,18492,-1125,1717,-1578,1
1648,-5860,18424,-1118,1604,-1539,1
1752,-5788,18548,-1072,1365,-1625,1
1740,-5812,18328,-1136,1294,-1604,1
1688,-6164,18572,-1117,1160,-1588,1
1796,-6320,18404,-1025,1103,-1691,1
1564,-5748,18188,-1289,1491,-1731,1
1412,-5728,18056,-1477,1572,-1872,1
1264,-5872,18164,-1489,1441,-1810,1
1300,-5940,18084,-1401,1158,-1603,1
1328,-5708,18076,-1296,959,-1432,1
1284,-5688,18360,-1416,970,-1365,1
1032,-5820,18532,-1373,598,-1246,1
1372,-5860,18488,-1295,353,-1322,1
1540,-5828,18112,-1313,354,-1528,1
1644,-5732,18120,-1409,257,-1776,1
1356,-6624,18420,-1536,1176,-1601,1
1224,-6496,18348,-1439,1408,-1437,1
1080,-6500,18364,-1442,1693,-1276,1
704,-6292,18456,-1318,1570,-959,1
856,-6192,18408,-1403,1329,-778,1
996,-6296,18364,-1555,1250,-738,1
1220,-6588,18296,-1530,1089,-804,1
1172,-6608,18340,-1536,1050,-976,1
1028,-6812,18544,-1556,998,-1084,1
884,-6972,18612,-1384,802,-1180,1
1432,-6572,18344,-1200,-491,-782,1
1520,-6592,18328,-1208,-274,-843,1
1468,-6572,18360,-1137,-6,-760,1
1368,-6420,18400,-1090,286,-832,1
976,-6364,18604,-1132,396,-866,1
848,-6236,18468,-1183,427,-787,1
1064,-6308,18648,-1077,272,-704,1
836,-6420,18636,-940,89,-635,1
712,-6248,18612,-1039,128,-489,1
696,-6408,18744,-1043,-87,-486,1
1788,-5744,18344,-1120,-238,-113,1
1788,-5624,18248,-1183,-188,-39,1
1752,-5724,18504,-1065,-339,139,1
2064,-5732,18212,-1100,-214,218,1
1964,-5740,18448,-1123,-247,243,1
2000,-5776,18668,-1177,-272,170,1
2248,-5992,18604,-1185,-195,34,1
2312,-6096,18368,-1153,-155,-116,1
2172,-6064,18392,-1010,-84,-189,1
2200,-6028,18444,-911,55,-241,1
1920,-5996,18596,-1419,355,-973,1
1992,-6224,18488,-1480,167,-1055,1
1932,-6256,18548,-1497,-57,-1159,1
2212,-6288,18380,-1551,-61,-1343,1
2420,-6300,18352,-1562,-72,-1552,1
2336,-6372,18428,-1579,29,-1622,1
2444,-6176,18272,-1621,-7,-1666,1
2136,-6084,18364,-1682,-157,-1635,1
2044,-6156,18388,-1801,-212,-1693,1
2440,-6352,18364,-1812,-266,-1889,1
2428,-6136,18060,-1879,-400,-2182,1
2312,-6240,18104,-1987,-328,-2240,1
2412,-6236,18008,-2121,-147,-2292,1
2416,-6136,17864,-2199,135,-2246,1
2188,-6304,17948,-2045,183,-2102,1
2188,-6212,18136,-1939,326,-1994,1
2152,-6308,18272,-1866,226,-1950,1
2176,-6428,18468,-1908,403,-1960,1
2148,-6520,18552,-1883,258,-2124,1
2148,-6496,18340,-1792,64,-2321,1
2340,-6644,18304,-1336,516,-2756,1
2276,-6720,18508,-1260,521,-2526,1
2244,-6664,18420,-1355,539,-2382,1
2428,-6784,18380,-1332,478,-2300,1
2592,-6968,18220,-1158,389,-2237,1
2856,-6872,18192,-1000,308,-2255,1
2820,-6884,18028,-906,468,-2250,1
2792,-6604,17992,-906,654,-2324,1
2728,-6376,18008,-936,725,-2461,1
2612,-6592,18028,-891,882,-2423,1
2804,-6688,18108,-730,1213,-2298,1
2824,-6700,17956,-615,1445,-2351,1
2612,-6532,17928,-584,1597,-2344,1
2496,-6396,17904,-685,1664,-2436,1
2292,-6316,17944,-682,1516,-2462,1
2252,-6292,18052,-658,1459,-2391,1
2276,-6232,17876,-600,1492,-2215,1
2380,-6156,17812,-572,1666,-2108,1
2276,-6080,17904,-654,1598,-2060,1
2208,-6344,17912,-664,1327,-2048,1
1884,-5860,17924,-639,976,-1716,1
2128,-5884,17772,-712,813,-1726,1
2116,-6080,17668,-897,641,-1871,1
2388,-6032,17552,-1247,544,-2251,1
2536,-6032,17660,-1426,633,-2586,1
2596,-6032,17700,-1423,616,-2721,1
2380,-6088,17864,-1339,671,-2644,1
2544,-6244,17856,-1360,976,-2574,1
2556,-6416,17964,-1255,1398,-2490,1
2552,-6320,17912,-1240,1919,-2385,1
1328,-6460,18252,-546,1978,-1665,1
1568,-6068,18256,-560,1805,-1652,1
1304,-6004,17944,-693,1490,-1567,1
1592,-5964,17916,-998,1180,-1618,1
1916,-6148,17836,-1200,1039,-1733,1
2112,-6440,17896,-1255,1099,-1901,1
2220,-6580,18056,-1288,1312,-2160,1
2008,-6728,18336,-1083,1547,-2176,1
1908,-6360,18352,-913,1940,-2155,1
1524,-6304,18332,-835,2214,-2092,1
1440,-6224,18768,-337,1979,-1679,1
1172,-6236,18692,-349,1882,-1761,1
1132,-6296,18612,-520,1551,-1889,1
1072,-6288,18736,-724,1270,-2048,1
1284,-6380,18708,-848,1022,-2189,1
1372,-6232,18744,-874,900,-2269,1
1656,-6284,18508,-847,934,-2214,1
1692,-6460,18528,-711,1055,-2252,1
1524,-6532,18516,-643,1046,-2288,1
1440,-6444,18500,-713,987,-2484,1
928,-5936,17928,-1099,453,-2978,1
852,-5944,17912,-1276,83,-3138,1
1040,-5760,17636,-1463,-85,-3216,1
1392,-5648,17448,-1539,89,-3078,1
1732,-5812,17348,-1414,557,-2573,1
1876,-5940,17372,-1393,891,-2324,1
1664,-6184,17692,-1467,892,-2410,1
1600,-6152,17848,-1750,591,-2909,1
1740,-6332,17932,-2040,360,-3365,1
2048,-6388,17772,-2180,556,-3699,1
680,-6244,18892,-1159,467,-3176,1
852,-6344,18728,-1223,252,-3250,1
832,-6416,18888,-1298,230,-3311,1
1032,-6232,18832,-1264,279,-3316,1
1276,-6296,18824,-1254,475,-3220,1
1200,-6272,18800,-1163,614,-3048,1
1340,-6476,18528,-1086,834,-2891,1
1392,-6652,18488,-991,928,-2981,1
1648,-6592,18464,-959,1137,-3166,1
1604,-6576,18268,-803,1395,-3300,1
808,-6048,18156,-23,2188,-2513,1
588,-6128,18228,-167,1923,-2651,1
584,-5912,18512,-316,1684,-2870,1
444,-5928,18408,-373,1527,-2911,1
628,-5900,18480,-399,1369,-2747,1
780,-5848,18308,-316,1384,-2567,1
848,-5860,18200,-349,1444,-2589,1
988,-5912,17928,-289,1485,-2642,1
844,-5932,17752,-277,1683,-2736,1
640,-5908,17924,-294,2117,-2779,1
312,-5796,18504,-546,1092,-2596,1
388,-5828,18304,-436,1167,-2697,1
340,-5556,18108,-355,1356,-2686,1
344,-5536,18280,-313,1774,-2514,1
264,-5428,18528,-236,2169,-2295,1
96,-5080,18572,-313,2409,-2138,1
-296,-5312,18732,-363,2081,-1994,1
-292,-5548,18672,-364,1948,-1910,1
-344,-5576,18704,-323,1689,-1842,1
-36,-5548,18688,-213,1483,-1776,1
-268,-5616,18572,-895,793,-2030,1
-120,-5556,18552,-868,569,-2109,1
28,-5516,18448,-927,564,-2119,1
152,-5720,18288,-864,521,-2132,1
396,-5744,18304,-749,593,-2144,1
196,-5840,18184,-663,629,-2147,1
100,-5524,17952,-622,532,-2145,1
-28,-5276,18304,-780,197,-2204,1
40,-5208,18164,-1020,-58,-2183,1
236,-5508,18436,-1398,-180,-2321,1
388,-5740,18744,-1274,877,-2496,1
316,-5912,18932,-1277,954,-2704,1
136,-5876,18968,-1166,970,-2748,1
128,-5680,18912,-944,1075,-2616,1
-48,-5800,18800,-674,1226,-2451,1
-108,-5468,18856,-538,1395,-2221,1
-308,-5248,18848,-668,1433,-2056,1
-440,-5280,18760,-816,1308,-1984,1
-224,-5596,18824,-784,1166,-1951,1
-372,-5728,18828,-792,1180,-2008,1
336,-5436,18292,-1021,953,-2116,1
332,-5464,18180,-1109,1048,-2078,1
332,-5628,18228,-1178,1107,-2069,1
404,-5776,18248,-1171,1414,-2088,1
300,-5764,18340,-1024,1475,-2049,1
100,-5472,18416,-1066,1492,-2002,1
-136,-5516,18512,-1135,1466,-1967,1
72,-5716,18240,-1133,1520,-1991,1
-84,-5740,18288,-1117,1613,-1953,1
-104,-5704,18532,-995,1769,-2027,1
-696,-5396,18760,-816,1572,-1060,1
-768,-5412,18908,-908,1463,-1208,1
-908,-5640,19024,-818,1331,-1259,1
-848,-5464,18868,-738,1377,-1194,1
-1084,-5404,18840,-532,1075,-958,1
-936,-5344,18548,-656,1049,-741,1
-856,-5236,18540,-718,1017,-686,1
-948,-5304,18624,-735,1004,-650,1
-932,-5396,18592,-845,861,-590,1
-964,-5512,18500,-826,622,-625,1
-448,-5948,18776,-1167,171,-426,1
-652,-6152,18928,-1030,212,-497,1
-732,-5748,18888,-963,303,-517,1
-856,-5588,18764,-982,139,-413,1
-836,-5572,18680,-997,-170,-318,1
-452,-5548,18700,-1092,-240,-276,1
-372,-5756,18700,-1070,-177,-185,1
-140,-5736,18480,-1041,-67,-176,1
-684,-6080,18440,-951,-692,-602,1
-588,-6044,18452,-927,-700,-625,1
-440,-5920,18436,-911,-675,-608,1
-460,-5920,18380,-898,-640,-616,1
-252,-5892,18400,-878,-557,-774,1
-172,-5836,18312,-896,-490,-914,1
-84,-5988,18244,-978,-504,-1042,1
-28,-6048,18292,-1029,-438,-1146,1
-56,-5964,18364,-1086,-352,-1211,1
-60,-6080,18308,-1084,-273,-1143,1
708,-6384,18156,-1658,268,-2990,1
572,-6504,18276,-1589,527,-3109,1
308,-6584,18464,-1442,797,-3001,1
336,-6780,18376,-1253,1173,-2809,1
272,-6588,18220,-1127,1586,-2578,1
156,-6568,18360,-993,2005,-2383,1
-28,-6432,18448,-853,2183,-2415,1
-356,-6468,18732,-936,2042,-2462,1
-400,-6620,18820,-941,1816,-2645,1
-368,-6684,18860,-929,1642,-2887,1
-932,-6420,18664,-949,906,-3447,1
-836,-6268,18480,-1021,870,-3603,1
-1020,-6192,18444,-1138,652,-3579,1
-968,-6108,18644,-1272,496,-3642,1
-820,-6072,18328,-1429,246,-3804,1
-808,-5948,18416,-1538,-108,-3908,1
-748,-5976,18188,-1656,-361,-3949,1
-428,-6296,18092,-1741,-362,-3966,1
-268,-6220,18052,-1770,-188,-3958,1
-160,-6236,17964,-1720,-44,-3961,1
-144,-6780,18356,-879,-89,-3636,1
-68,-6608,18228,-751,46,-3512,1
-44,-6372,18168,-664,228,-3253,1
88,-6316,18188,-749,206,-3060,1
236,-6668,18176,-818,180,-3016,1
492,-6824,18416,-792,285,-3184,1
544,-6892,18420,-655,437,-3279,1
616,-6824,18428,-482,732,-3212,1
588,-6792,18400,-293,1024,-3047,1
476,-6776,18324,-127,1388,-2856,1
344,-6428,18044,-77,2621,-2403,1
536,-6748,18388,1,2623,-2410,1
620,-6740,18000,93,2801,-2626,1
632,-6776,18136,165,2950,-2892,1
392,-6652,18300,117,3116,-3091,1
0,-6720,18292,144,3166,-3217,1
-308,-6460,18212,145,2987,-3178,1
-356,-6240,18172,-118,2590,-3232,1
-336,-6296,18264,-279,2151,-3417,1
-332,-6468,18292,-403,1840,-3646,1
-892,-6212,18456,-120,2113,-4197,1
-832,-6268,18620,-58,2206,-4247,1
-944,-6108,18364,99,2388,-4057,1
-1044,-6008,18432,202,2487,-3775,1
-1188,-6032,18276,303,2414,-3626,1
-1292,-5964,18468,316,2304,-3633,1
-1316,-5924,18292,279,2237,-3598,1
-1176,-6004,18144,266,2139,-3649,1
-1260,-5804,18268,256,2154,-3573,1
-1224,-5596,18436,184,1976,-3549,1
-1780,-5604,18780,-453,475,-4273,1
-1484,-5648,18948,-313,612,-4118,1
-1376,-5748,18812,-17,1107,-3723,1
-1400,-5836,18420,204,1590,-3241,1
-1440,-5876,18632,353,1965,-2980,1
-1580,-5684,18556,464,1984,-2978,1
-1712,-5496,18724,301,1721,-3074,1
-1532,-5640,18628,222,1534,-3190,1
-1696,-5548,18580,75,1228,-3212,1
-1680,-5740,18468,-53,969,-3417,1
-2172,-4952,18296,477,2635,-2429,1
-2240,-4788,18464,319,2420,-2303,1
-2272,-4836,18496,116,2011,-2283,1
-1944,-4944,18584,-95,1727,-2589,1
-1840,-5444,18600,-154,1463,-2818,1
-1588,-5392,18628,-165,1436,-3142,1
-1444,-5388,18660,-56,1496,-3247,1
-1548,-5352,18680,32,1633,-3282,1
-1804,-5068,18844,55,1713,-3323,1
-1968,-5024,18916,-11,1710,-3219,1
-1848,-4804,18692,315,1448,-3448,1
-1852,-4760,18888,196,1287,-3538,1
-1784,-4908,18704,208,1092,-3584,1
-1732,-4892,18756,236,1028,-3526,1
-1536,-5112,18700,351,1241,-3392,1
-1388,-5148,18756,577,1464,-3136,1
-1364,-5196,18624,647,1779,-3097,1
-1572,-4964,18648,572,1865,-3163,1
-1772,-4984,18748,517,1712,-3339,1
-1888,-4840,18408,755,1449,-3279,1
-2200,-4448,18784,1065,380,-3463,1
-2304,-4236,18792,939,214,-3814,1
-2348,-3920,18928,773,-102,-3995,1
-2412,-4044,18928,654,-333,-4077,1
-2384,-4028,18768,528,-365,-3837,1
-2156,-3832,18620,391,-212,-3546,1
-2120,-3896,18428,338,-78,-3189,1
-2088,-3736,18456,211,148,-2820,1
-1780,-3776,18384,81,427,-2484,1
-1560,-3832,18292,88,828,-2343,1
-2312,-3588,19008,-176,668,-2827,1
-2236,-3712,18960,-361,719,-2718,1
-2332,-3948,18624,-266,611,-2563,1
-2216,-3844,18660,-423,766,-2540,1
-2284,-4080,18612,-389,832,-2438,1
-2096,-4156,18740,-360,1084,-2476,1
-2016,-4136,18728,-249,1271,-2428,1
-2128,-4064,18864,-250,1380,-2527,1
-2224,-4116,18768,-351,1447,-2541,1
-2260,-4196,19064,-293,1495,-2609,1
-2740,-3876,18920,-547,568,-2747,1
-2704,-4044,18904,-580,605,-2726,1
-2588,-4132,19084,-404,596,-2741,1
-2608,-4112,18932,-309,648,-2707,1
-2600,-3916,18948,-317,753,-2579,1
-2632,-3852,18952,-265,763,-2489,1
-2792,-3588,18876,-302,736,-2311,1
-2516,-3672,18684,-399,712,-2179,1
-2444,-3900,18804,-293,558,-2114,1
-2316,-4056,18672,-379,579,-2184,1
-2700,-3868,18548,-872,400,-2942,1
-2680,-3716,18648,-946,259,-2900,1
-2576,-3900,18692,-985,257,-2891,1
-2548,-3920,18616,-1002,282,-2859,1
-2584,-3764,18516,-1039,511,-2670,1
-2572,-3832,18456,-974,706,-2474,1
-2476,-3888,18328,-865,954,-2198,1
-2480,-3776,18344,-834,1270,-1934,1
-2612,-3696,18164,-887,1358,-1855,1
-2968,-3460,18348,-1100,1307,-2000,1
-3860,-4016,19012,-1068,1826,-1096,1
-3836,-4016,19000,-913,1815,-933,1
-3984,-3896,18948,-855,1679,-848,1
-4160,-3720,18820,-873,1395,-699,1
-4116,-3744,18872,-981,1121,-514,1
-4176,-3728,18728,-1026,768,-392,1
-3992,-3688,18704,-1066,512,-345,1
-3616,-3964,18712,-1107,412,-114,1
-3396,-4128,18960,-1028,383,-233,1
-3396,-4080,18928,-1063,314,-229,1
-2704,-4616,18684,-935,-160,-198,1
-2876,-4248,18500,-954,-119,-125,1
-248,-6636,18384,-1476,60,78,1
-284,-6532,18708,-1296,150,46,1
-592,-6524,18728,-1138,202,63,1
-428,-6292,18544,-1130,187,102,1
-488,-6268,18488,-1168,124,288,1
-500,-6468,18396,-1229,87,398,1
-400,-6520,18320,-1260,-163,375,1
-336,-6596,18368,-1306,-259,294,1
-60,-6648,18444,-1244,-235,147,1
-168,-6616,18500,-1164,-113,127,1
716,-6960,18296,-1093,-21,-1621,1
772,-6936,18316,-1017,19,-1693,1
700,-7020,18252,-984,-51,-1845,1
668,-6968,18236,-1043,-121,-2025,1
728,-6940,18312,-1104,-255,-2228,1
1012,-6896,18196,-1227,-273,-2461,1
852,-7100,18116,-1238,-321,-2531,1
1148,-7156,18388,-1240,-187,-2693,1
1024,-7224,18184,-1254,-17,-2890,1
1188,-7220,18436,-1202,134,-3047,1
300,-6768,18204,-479,949,-2348,1
408,-6644,18344,-444,960,-2406,1
400,-6772,18216,-433,1000,-2377,1
596,-6468,18180,-423,1086,-2486,1
484,-6572,18228,-461,1223,-2567,1
328,-6284,18332,-461,1211,-2607,1
284,-6512,18380,-471,1228,-2474,1
152,-6628,18384,-312,1285,-2346,1
212,-6516,18492,-246,1355,-2253,1
60,-6432,18424,-253,1342,-2246,1
760,-6652,18012,-267,1626,-2496,1
576,-6528,18120,-255,1679,-2590,1
696,-6564,18196,-245,1738,-2579,1
592,-6376,18232,-168,1951,-2561,1
484,-6392,18400,-107,2241,-2366,1
272,-6348,18292,-16,2289,-2256,1
176,-6256,18028,-116,2146,-2395,1
132,-6468,18180,-223,1917,-2683,1
48,-6416,18376,-331,1657,-2886,1
84,-6320,18336,-354,1402,-3017,1
452,-5968,18320,123,2752,-3266,1
304,-5880,18380,41,2832,-3140,1
324,-6004,18380,66,2975,-3131,1
236,-6092,18608,167,2932,-3176,1
132,-6168,18632,287,3068,-3152,1
132,-6212,18544,438,3250,-3166,1
-72,-5812,18360,433,3269,-3250,1
-348,-5572,18412,258,3116,-3345,1
-540,-5660,18340,25,2816,-3376,1
-628,-5772,18520,-72,2633,-3297,1
-340,-5712,18672,-226,1589,-3772,1
-424,-5532,18488,-171,1867,-3679,1
-696,-5476,18504,-206,1943,-3571,1
-712,-5420,18716,-181,1855,-3572,1
-804,-5592,18672,-206,1742,-3532,1
-932,-5448,18728,-267,1555,-3527,1
-1204,-5408,18856,-311,1192,-3466,1
-980,-5440,18768,-429,720,-3602,1
-860,-5528,18780,-510,391,-3722,1
-764,-5600,18576,-540,322,-3664,1
-652,-5344,18460,-513,405,-3226,1
-664,-5280,18720,-452,403,-3207,1
-724,-5116,18580,-450,330,-3153,1
-620,-5224,18564,-457,183,-3083,1
-572,-5644,18388,-418,152,-3121,1
-488,-5512,18492,-323,270,-3191,1
-376,-5356,18340,-213,462,-3159,1
-404,-5188,18180,-117,750,-2960,1
-260,-4972,18272,-47,1134,-2593,1
-192,-4832,18376,-73,1488,-2230,1
-1392,-4820,18796,-1255,-1777,-4983,1
-968,-4988,18720,-1334,-2085,-4992,1
-556,-4792,18640,-1262,-1983,-4890,1
-244,-4768,18564,-1057,-1429,-4341,1
184,-4672,18424,-781,-545,-3631,1
280,-4832,18272,-509,248,-3038,1
452,-4792,18116,-361,831,-2711,1
340,-4740,18356,-375,1128,-2708,1
-84,-4856,18140,-461,1088,-2724,1
168,-4808,18364,-560,965,-2950,1
-72,-4936,18216,-425,2913,-2361,1
-340,-4772,18492,-373,3107,-2225,1
-828,-4700,18684,-459,2900,-2372,1
-780,-4924,19068,-632,2286,-2781,1
-1244,-5100,19380,-911,1247,-3566,1
-1196,-4996,19596,-1243,-96,-4377,1
-1016,-5168,19396,-1391,-1209,-5005,1
-576,-5072,19284,-1489,-1776,-5305,1
40,-4796,18996,-1388,-1753,-5292,1
320,-4624,18672,-1271,-1303,-4868,1
412,-5528,18720,-523,2338,-4217,1
440,-5400,18572,-367,2724,-4376,1
-52,-5240,18688,-410,2481,-4786,1
-688,-5024,18640,-800,1864,-5265,1
-608,-4780,18760,-1142,1233,-5679,1
-464,-4660,18792,-1412,882,-5624,1
-416,-4872,18932,-1389,787,-5414,1
48,-5284,18844,-1248,1002,-5090,1
308,-5200,19024,-850,1268,-4992,1
348,-5104,18852,-672,1500,-4883,1
-840,-5008,18812,-557,1789,-4289,1
-840,-5016,18924,-375,1988,-4069,1
-812,-4904,18584,-278,2093,-3931,1
-956,-4716,18628,-312,2111,-3786,1
-1180,-4756,18772,-297,1991,-3766,1
-1212,-4436,18764,-427,1873,-3726,1
-1304,-4504,18616,-535,1691,-3583,1
-1288,-4464,18720,-688,1509,-3482,1
-1372,-4696,18660,-811,1199,-3349,1
-1056,-4936,18656,-844,1043,-3338,1
-184,-4768,18432,-1992,953,-4266,1
-244,-4536,18472,-2224,1097,-3863,1
-364,-4696,18380,-2596,1242,-3457,1
-264,-5168,18396,-2685,1488,-3056,1
-96,-5528,18632,-2409,1730,-2855,1
-336,-5840,18636,-2175,1893,-2885,1
-588,-5776,19024,-2019,1729,-3086,1
-856,-5680,18992,-1950,1471,-3220,1
-884,-5616,19192,-1783,1188,-3184,1
-1060,-5612,19164,-1624,904,-2877,1
-688,-5980,18788,-1571,-238,-1055,1
-576,-5924,18668,-1509,-138,-1229,1
-472,-6012,18748,-1486,-55,-1449,1
-640,-6000,18752,-1331,59,-1544,1
-776,-6184,18768,-1224,240,-1622,1
-876,-6020,18620,-1139,348,-1575,1
-1024,-6032,18704,-1099,393,-1487,1
-1244,-5900,18572,-1133,299,-1347,1
-1456,-6080,18712,-1146,167,-1171,1
-1264,-6124,18724,-1119,70,-1100,1
-1068,-6000,18304,-395,858,-862,1
-956,-6004,18436,-435,924,-952,1
-1072,-6128,18752,-465,902,-960,1
-956,-6148,18812,-310,690,-958,1
-828,-6188,18780,-225,410,-1074,1
-792,-6300,18560,-157,195,-1343,1
-472,-6120,18428,-240,45,-1630,1
-380,-5868,18420,-335,-125,-1888,1
-520,-5960,18396,-549,-214,-2016,1
-336,-5996,18556,-736,-331,-2008,1
320,-6656,19020,-1486,-1403,-3599,1
296,-6832,19208,-1494,-1393,-3695,1
400,-6836,19224,-1390,-1179,-3706,1
412,-6916,19240,-1182,-966,-3553,1
472,-7008,19192,-1070,-745,-3380,1
652,-7100,19052,-946,-540,-3294,1
888,-7160,18812,-864,-430,-3437,1
908,-7180,18788,-807,-242,-3740,1
900,-6984,19028,-739,137,-3923,1
580,-6940,19120,-574,445,-3900,1
224,-5936,18332,125,938,-4726,1
-40,-5796,18376,170,1316,-4478,1
-308,-5676,18332,116,1362,-4134,1
-432,-5576,18568,27,970,-4007,1
-392,-5444,18312,-216,370,-4170,1
-228,-5612,18100,-501,-196,-4531,1
128,-5844,18140,-659,-616,-4915,1
500,-5852,18164,-760,-792,-5323,1
608,-5980,18084,-670,-685,-5529,1
760,-6028,18060,-582,-356,-5614,1
368,-5952,18148,-223,2214,-4878,1
240,-5812,17956,-248,2385,-4848,1
-16,-5812,18288,-281,2434,-4832,1
4,-5892,18300,-250,2496,-4852,1
176,-5900,18168,-176,2688,-4810,1
124,-5892,18500,-48,2995,-4847,1
-168,-5936,18668,27,3399,-4832,1
-500,-5828,18892,223,3610,-4910,1
-824,-5860,18560,359,3793,-4719,1
-908,-5640,18728,475,3882,-4479,1
-120,-5300,18692,-264,750,-4836,1
-256,-5304,18664,-124,1083,-4709,1
-252,-5256,18900,63,1528,-4556,1
-420,-5292,18576,145,1757,-4245,1
-328,-5440,18632,172,1982,-4116,1
-476,-5364,18616,137,2026,-4100,1
-484,-5432,18584,181,2144,-4263,1
-692,-5172,18784,204,2097,-4414,1
-1020,-5072,18672,247,2039,-4419,1
-932,-4984,18636,205,1937,-4331,1
-892,-4828,18540,-219,871,-4153,1
-968,-4644,18460,-283,672,-4151,1
-932,-4652,18400,-462,382,-4194,1
-732,-4904,18468,-532,172,-4193,1
-444,-5064,18476,-587,138,-4314,1
-332,-4864,18596,-547,175,-4411,1
-472,-4840,18688,-559,275,-4457,1
-628,-4776,18696,-605,186,-4425,1
-720,-4864,18512,-767,33,-4425,1
-588,-5020,18616,-872,-50,-4394,1
-616,-5028,18828,-961,-1064,-4252,1
-312,-5040,18904,-877,-1299,-4431,1
-32,-5112,18684,-778,-1183,-4322,1
188,-4968,18348,-639,-611,-3948,1
208,-4908,18164,-395,213,-3430,1
36,-4680,18108,-325,849,-2992,1
-264,-4404,18208,-464,1093,-2823,1
-572,-4424,18748,-603,876,-2756,1
-436,-4664,18944,-632,684,-2662,1
-152,-4796,19052,-544,586,-2614,1
-152,-4440,18684,-507,994,-2236,1
40,-4592,18552,-551,812,-2407,1
208,-4544,18464,-672,831,-2512,1
392,-4628,18544,-680,995,-2446,1
492,-4800,18300,-639,1330,-2329,1
768,-4792,18380,-577,1777,-2408,1
624,-4684,18536,-597,2195,-2582,1
272,-4672,18864,-656,2375,-2671,1
64,-4744,18908,-447,2462,-2650,1
-252,-4556,18808,-560,2367,-2453,1
-224,-4696,18852,-1189,996,-3740,1
-200,-4736,18856,-1133,1146,-3639,1
-160,-4776,18860,-941,1412,-3478,1
24,-4960,18788,-794,1767,-3293,1
-100,-4868,18772,-667,2204,-3288,1
-296,-4696,18812,-606,2358,-3454,1
-580,-4836,18792,-599,2291,-3542,1
-752,-4900,18828,-730,2241,-3602,1
-1000,-4704,18688,-850,2014,-3643,1
-1336,-4696,18804,-977,1619,-3561,1
-1460,-4688,18664,-536,1541,-2927,1
-1692,-4448,18748,-415,1559,-2809,1
-1684,-4212,18700,-489,1691,-2700,1
-2008,-4232,18728,-609,1585,-2487,1
-2312,-4264,18724,-754,1339,-2195,1
-1952,-4524,18776,-722,1148,-1999,1
-1796,-4504,19036,-640,1006,-1894,1
-1484,-4576,19040,-558,877,-1873,1
-1064,-4524,18932,-550,699,-1915,1
-652,-4720,18720,-494,744,-1993,1
-16,-4108,17056,-922,2728,-2645,1
-8,-4152,17244,-1113,3047,-2632,1
-212,-4136,17476,-1366,3454,-2693,1
-660,-4304,17428,-1506,3707,-2856,1
-936,-4564,17852,-1596,3735,-2913,1
-832,-4708,18432,-1712,3747,-3266,1
-1356,-4976,18820,-1830,3409,-3726,1
-1836,-5176,19476,-1847,2666,-4425,1
-1936,-5512,19852,-1757,1715,-5227,1
-2024,-5664,19692,-1359,925,-5777,1
-1492,-4864,18776,-1902,-2371,-5305,1
-1152,-4992,18684,-1780,-1480,-4597,1
-1524,-5056,18496,-1651,-576,-4022,1
-1752,-5048,18628,-1584,60,-3531,1
-2088,-5088,18928,-1470,478,-3117,1
-2480,-5228,19064,-1407,560,-2882,1
-2972,-5072,19208,-1472,220,-2751,1
-3092,-5064,19460,-1538,-500,-2737,1
-2868,-4988,19136,-1652,-1166,-2829,1
-2424,-4964,18912,-1645,-1565,-2843,1
-1840,-5012,18584,-1387,201,-858,1
-1772,-5088,18848,-1430,161,-772,1
-1804,-5152,18708,-1440,38,-615,1
-1680,-4956,18688,-1564,-103,-570,1
-1664,-5324,18680,-1636,-275,-594,1
-1584,-5204,18640,-1726,-376,-517,1
-1364,-5492,18704,-1692,-449,-387,1
-1104,-5804,18724,-1523,-341,-362,1
