AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Gesture
-2380,-6320,18028,-602,568,-1312,1
-2380,-6416,17960,-735,500,-1192,1
-2464,-6544,18116,-724,304,-1266,1
-2584,-6352,18244,-778,72,-1468,1
-2020,-6152,17924,-957,994,-1465,1
-1992,-6240,18020,-1047,717,-1506,1
-1852,-6492,18056,-1085,571,-1636,1
-1760,-6616,18124,-1041,608,-1662,1
-1452,-6684,17940,-924,809,-1639,1
-1584,-6792,17668,-716,1094,-1633,1
-1992,-6448,17764,-728,1219,-1522,1
-2128,-6456,17868,-790,1034,-1484,1
-2080,-6312,17964,-926,836,-1479,1
-2140,-6328,18000,-991,666,-1493,1
-2164,-6344,18024,-928,581,-1313,1
-2084,-6436,17916,-881,629,-1113,1
-1960,-6540,17944,-812,910,-1017,1
-2076,-6540,18028,-748,1040,-1088,1
-2472,-6556,17932,-776,959,-1186,1
-2660,-6544,18056,-787,826,-1236,1
-2508,-6384,17996,-844,703,-1128,1
-2656,-6380,18164,-803,673,-933,1
-2660,-6268,18168,-862,629,-788,1
-2676,-6464,18108,-837,523,-665,1
-644,-5108,18816,-710,987,-3774,1
-636,-4988,18828,-634,956,-3791,1
-820,-5124,19064,-567,647,-3883,1
-964,-4824,18928,-691,543,-3879,1
-940,-4772,18940,-986,418,-3734,1
-848,-4752,19084,-1324,139,-3722,1
-716,-4908,18980,-1626,-291,-3812,1
-108,-4956,18848,-1814,-406,-3939,1
396,-5188,18792,-1775,-126,-3905,1
540,-5388,18740,-1638,272,-3869,1
-192,-6212,18940,-939,2761,-5538,1
-464,-6240,18980,-893,2648,-5563,1
-600,-6308,19084,-906,2582,-5554,1
-684,-6308,19296,-859,2468,-5619,1
-676,-6244,18920,-888,2385,-5782,1
-1020,-6116,19128,-918,2310,-5873,1
-984,-5928,19132,-901,2265,-5716,1
-1352,-5872,18948,-933,2253,-5398,1
-1260,-5788,18892,-1069,2259,-5202,1
-1336,-5808,18796,-1211,2231,-5015,1
-1144,-5628,18732,-336,2111,-4773,1
-1288,-5820,18776,-401,1887,-4805,1
-1148,-5608,18888,-387,1630,-4809,1
-1344,-5760,18740,-429,1315,-4889,1
-1176,-5512,18692,-566,945,-5065,1
-768,-5708,18640,-697,674,-5339,1
-552,-5820,18528,-647,625,-5507,1
-64,-6292,18652,-320,1056,-5609,1
-168,-6100,18756,5,1695,-5503,1
-744,-5912,18940,212,1969,-5172,1
-2012,-3880,18656,-1213,1213,-2601,1
-1908,-4120,18680,-1334,965,-2717,1
-1472,-4332,18748,-1252,741,-2657,1
-1040,-4548,18696,-1039,898,-2511,1
-756,-4432,18532,-968,1396,-2364,1
-764,-4340,18396,-992,1945,-2237,1
-1064,-4276,18464,-1038,2212,-2221,1
-1324,-4192,18632,-1136,2070,-2409,1
-1632,-4300,18800,-1204,1581,-2589,1
-1396,-4508,18968,-1352,1356,-2762,1
-1860,-4720,18820,-853,1879,-1969,1
-1908,-4752,18816,-893,1931,-2053,1
-2064,-4656,18728,-1040,1785,-2181,1
-2464,-4632,18744,-1151,1470,-2180,1
-2592,-4732,18792,-1221,1340,-2209,1
-2860,-4792,19084,-1218,1034,-2245,1
-3128,-4688,19028,-1266,639,-2111,1
-3136,-4672,18916,-1393,135,-2082,1
-3252,-4684,19076,-1437,-529,-2027,1
-2524,-4736,18768,-1405,-720,-1917,1
-2364,-4624,19264,-1100,-384,-1081,1
-2272,-4692,18868,-1011,-506,-969,1
-1900,-4444,18952,-938,-497,-854,1
-1780,-4580,18696,-915,-309,-828,1
-1788,-4640,18700,-853,-223,-809,1
-1908,-4500,18712,-885,-107,-732,1
-1916,-4432,18888,-995,-100,-797,1
-1804,-4432,18696,-1132,-123,-871,1
-1840,-4632,18904,-1153,-160,-874,1
-1932,-4832,18980,-1059,-84,-895,1
-1644,-5096,18768,-728,-368,-652,1
-1608,-4952,18804,-684,-177,-652,1
-1672,-4732,18896,-625,-109,-421,1
-1504,-4744,19052,-689,-141,-250,1
-1572,-4660,18980,-696,-81,-134,1
-1572,-4728,18824,-757,-11,-81,1
-1688,-5008,18828,-724,55,20,1
-1272,-3328,19676,-1285,2420,761,1
-1404,-3296,19504,-1109,1983,657,1
-1808,-3276,19344,-1044,1309,649,1
-1652,-3252,19276,-983,819,597,1
-1728,-3072,19260,-870,330,753,1
-1924,-2988,19076,-1007,-29,938,1
-2064,-2696,19228,-1144,-502,1207,1
-1912,-2920,19104,-1331,-920,1233,1
-1852,-3008,19128,-1545,-1418,1151,1
-1416,-3248,19064,-1725,-1613,877,1
620,-3928,19048,-1740,-1111,-635,1
544,-4028,19004,-1658,-1071,-645,1
768,-4212,19148,-1474,-871,-831,1
1116,-4164,18968,-1398,-608,-1161,1
1308,-4472,18888,-1341,-136,-1369,1
1440,-4372,18932,-1034,458,-1381,1
1728,-4360,18968,-742,1372,-1334,1
1596,-4548,19112,-393,2129,-1201,1
1596,-4472,19268,-204,2820,-1202,1
1228,-4736,19420,-62,3091,-1211,1
368,-3896,18984,116,1740,-4258,1
340,-3668,18884,35,1722,-4470,1
96,-3384,18816,-272,1758,-4627,1
-8,-3516,18824,-442,1827,-4720,1
-348,-3508,18972,-581,1894,-4545,1
-372,-3684,18944,-568,1945,-4197,1
-172,-3860,18972,-471,2113,-4063,1
-36,-4188,18968,-156,2281,-4096,1
188,-4176,18716,2,2624,-4270,1
436,-4184,18328,201,3057,-4582,1
-1768,-3424,19372,-1412,-445,-5402,1
-1620,-3528,19468,-1544,-619,-5429,1
-1500,-3464,19532,-1755,-685,-5544,1
-1220,-3600,19516,-1898,-610,-5558,1
-1276,-3824,19652,-1888,-615,-5351,1
-848,-3924,19540,-1755,-284,-5149,1
-848,-3952,19448,-1665,232,-4843,1
-968,-3920,19672,-1483,616,-4764,1
-1252,-3924,19868,-1342,726,-4729,1
-1132,-3800,19540,-1189,639,-4520,1
-1660,-3592,19548,-1436,-703,-4156,1
-1452,-3576,19544,-1561,-990,-4288,1
-1188,-3840,19412,-1479,-1323,-4362,1
-800,-3912,19200,-1351,-1133,-4421,1
-756,-3848,19124,-1166,-680,-4085,1
-704,-3892,19256,-1114,-49,-3795,1
-924,-3732,19316,-980,239,-3521,1
-1012,-3840,19520,-951,203,-3517,1
-1420,-3656,19572,-849,-380,-3547,1
-1020,-4024,19324,-960,-646,-3733,1
-288,-3884,19308,-1510,-2450,-3136,1
-92,-4292,19112,-1449,-2495,-3131,1
428,-4304,19072,-1353,-2255,-3218,1
612,-4452,19068,-1186,-1932,-3161,1
676,-4176,19032,-998,-1418,-3203,1
684,-4064,19176,-874,-885,-3014,1
552,-3936,19256,-809,-512,-2719,1
380,-3976,19332,-812,-625,-2649,1
564,-4164,19340,-804,-750,-2724,1
800,-4212,19268,-744,-724,-2757,1
956,-3796,19104,-861,-16,-3634,1
904,-3768,19020,-1055,-328,-3497,1
1108,-3888,18956,-1248,-659,-3710,1
1620,-4304,18880,-1288,-688,-4079,1
1996,-4660,18820,-1150,-309,-4343,1
2072,-4588,19088,-855,283,-4533,1
1932,-4536,18976,-685,929,-4484,1
1816,-4412,19124,-485,1436,-4380,1
1272,-4072,18772,-394,1616,-4068,1
1004,-3996,18820,-456,1529,-3957,1
432,-3904,18640,-1679,711,-5356,1
300,-3900,18824,-1624,722,-5125,1
144,-3960,18932,-1591,654,-5135,1
308,-3952,18892,-1533,524,-5141,1
400,-4064,18844,-1431,469,-5018,1
436,-4056,18680,-1401,557,-5031,1
512,-4052,18708,-1396,630,-5002,1
548,-3988,18864,-1464,690,-5106,1
440,-4016,18888,-1474,725,-5157,1
616,-3916,18916,-1407,881,-4968,1
732,-4084,19184,-1521,941,-4138,1
484,-4016,19280,-1558,875,-4157,1
576,-4032,19200,-1671,684,-4208,1
672,-4124,19064,-1669,559,-4253,1
892,-4176,19008,-1577,839,-4053,1
776,-4040,18832,-1547,1068,-3606,1
612,-4204,18888,-1496,1046,-3416,1
448,-4356,18792,-1510,680,-3445,1
308,-4316,18832,-1669,66,-3880,1
228,-4472,18872,-1785,-942,-4441,1
-476,-4216,19856,-1277,-1023,-4390,1
-48,-4176,19660,-1400,-1776,-4286,1
424,-4432,19696,-1479,-2356,-4403,1
